studyName,Sample Collection Date,Sample Number,Total Number,16-20mm,21-25mm,26-30mm,31-35mm,36-40mm,41-45mm,46-50mm,51-55mm,56-60mm,61-65mm
PAL9192,1/15/92,91001,62,0,0,0,0,15,31,10,5,1,0
PAL9192,1/15/92,91002,80,3,0,12,4,11,22,19,8,1,0
PAL9192,1/15/92,91003,73,0,4,3,4,11,26,16,8,1,0
PAL9192,1/15/92,91004,65,3,3,2,3,11,28,15,0,0,0
PAL9192,1/15/92,91005,52,0,0,0,1,12,24,8,4,3,0
PAL9192,1/20/92,91006,81,0,0,4,1,10,15,17,15,17,2
PAL9192,1/20/92,91007,90,2,7,9,5,13,24,16,9,5,0
PAL9192,1/20/92,91008,73,0,1,5,8,3,20,26,8,2,0
PAL9192,1/20/92,91009,68,0,1,2,3,6,19,19,13,3,2
PAL9192,1/20/92,91010,131,5,10,13,11,22,39,19,11,1,0
PAL9192,1/25/92,91011,95,0,0,0,1,21,16,17,20,19,1
PAL9192,1/25/92,91012,83,1,4,6,8,21,25,11,6,1,0
PAL9192,1/25/92,91013,69,0,0,1,2,7,18,26,13,2,0
PAL9192,1/25/92,91014,52,0,0,0,0,5,16,17,8,6,0
PAL9192,1/25/92,91015,47,0,0,0,4,11,21,4,6,1,0
PAL9192,1/30/92,91016,70,0,0,0,0,10,20,11,16,9,4
PAL9192,1/30/92,91017,70,0,0,11,18,7,14,11,8,1,0
PAL9192,1/30/92,91018,69,0,5,16,14,15,13,5,1,0,0
PAL9192,1/30/92,91019,49,0,0,0,0,3,14,15,7,10,0
PAL9192,1/30/92,91020,87,0,12,8,14,18,15,11,6,0,3
PAL9192,2/4/92,91021,36,0,0,0,1,5,6,6,10,7,1
PAL9192,2/4/92,91022,65,0,0,6,10,17,14,12,5,1,0
PAL9192,2/4/92,91023,63,0,0,0,4,2,13,15,8,15,6
PAL9192,2/4/92,91024,75,0,0,4,3,3,15,32,13,5,0
PAL9192,2/4/92,91025,56,0,0,1,3,5,20,16,7,4,0
PAL9192,2/9/92,91026,57,0,0,0,0,0,6,18,11,17,5
PAL9192,2/9/92,91027,44,0,0,1,5,8,13,11,5,1,0
PAL9192,2/9/92,91028,59,0,0,0,1,2,17,24,15,0,0
PAL9192,2/9/92,91029,62,0,0,0,0,2,16,21,18,4,1
PAL9192,2/9/92,91030,95,0,0,16,22,23,18,12,4,0,0
PAL9192,2/14/92,91031,70,0,0,0,6,6,19,16,13,10,0
PAL9192,2/14/92,91032,80,0,0,2,5,16,25,15,13,3,1
PAL9192,2/14/92,91033,72,0,0,0,2,2,23,24,20,1,0
PAL9192,2/14/92,91034,62,0,0,0,1,3,24,19,10,5,0
PAL9192,2/14/92,91035,82,0,0,1,2,15,24,27,12,1,0
PAL9192,2/19/92,91036,68,0,0,0,2,2,14,31,14,5,0
PAL9192,2/19/92,91037,90,0,0,0,9,7,23,28,18,4,1
PAL9192,2/19/92,91038,58,0,0,0,0,1,9,27,19,2,0
PAL9192,2/19/92,91039,77,0,0,0,0,2,9,25,20,13,8
PAL9192,2/19/92,91040,62,0,0,1,2,6,20,19,13,1,0
PAL9293,1/11/93,92001,53,0,0,6,22,8,10,7,0,0,0
PAL9293,1/11/93,92002,50,0,3,11,20,7,8,1,0,0,0
PAL9293,1/11/93,92003,52,0,0,7,27,14,1,3,0,0,0
PAL9293,1/11/93,92004,56,0,0,7,19,17,10,2,1,0,0
PAL9293,1/11/93,92005,50,0,0,0,30,11,6,2,1,0,0
PAL9293,1/19/93,92006,53,0,0,3,23,16,10,1,0,0,0
PAL9293,1/19/93,92007,50,0,0,2,24,15,8,1,0,0,0
PAL9293,1/19/93,92008,54,0,0,1,13,22,17,1,0,0,0
PAL9293,1/19/93,92009,48,0,0,4,24,16,3,1,0,0,0
PAL9293,1/19/93,92010,50,0,0,1,25,14,9,1,0,0,0
PAL9293,1/23/93,92011,50,0,0,4,29,15,2,0,0,0,0
PAL9293,1/23/93,92012,56,0,0,3,23,23,7,0,0,0,0
PAL9293,1/23/93,92013,57,0,0,7,30,15,5,0,0,0,0
PAL9293,1/23/93,92014,58,0,0,3,28,23,3,1,0,0,0
PAL9293,1/23/93,92015,57,0,0,1,24,23,9,0,0,0,0
PAL9293,1/30/93,92016,50,0,0,0,10,24,15,1,0,0,0
PAL9293,1/30/93,92017,56,0,0,2,31,19,4,0,0,0,0
PAL9293,1/30/93,92018,56,0,0,0,8,30,12,6,0,0,0
PAL9293,1/30/93,92019,50,0,0,1,28,13,7,1,0,0,0
PAL9293,1/30/93,92020,52,0,0,0,29,18,4,1,0,0,0
PAL9293,2/4/93,92021,50,0,0,1,16,23,9,0,1,0,0
PAL9293,2/4/93,92022,50,0,0,4,27,19,0,0,0,0,0
PAL9293,2/4/93,92023,55,0,0,1,26,19,9,0,0,0,0
PAL9293,2/4/93,92024,50,0,0,0,9,23,14,4,0,0,0
PAL9293,2/4/93,92025,50,0,0,0,4,21,18,7,0,0,0
PAL9293,2/9/93,92026,54,0,0,3,11,23,17,0,0,0,0
PAL9293,2/9/93,92027,52,0,0,0,8,22,16,4,2,0,0
PAL9293,2/9/93,92028,54,0,0,0,7,17,17,12,1,0,0
PAL9293,2/9/93,92029,50,0,0,0,15,23,10,2,0,0,0
PAL9293,2/9/93,92030,50,0,0,1,3,19,16,8,3,0,0
PAL9293,2/14/93,92031,50,0,0,0,2,15,16,17,0,0,0
PAL9293,2/14/93,92032,48,0,0,0,9,19,18,1,1,0,0
PAL9293,2/14/93,92033,54,0,0,0,7,25,20,2,0,0,0
PAL9293,2/14/93,92034,48,0,0,1,13,15,13,4,2,0,0
PAL9293,2/14/93,92035,61,0,0,0,7,14,30,10,0,0,0
PAL9293,2/19/93,92036,50,0,0,0,4,10,31,5,0,0,0
PAL9293,2/19/93,92037,50,0,0,1,4,21,18,5,1,0,0
PAL9293,2/19/93,92038,53,0,0,0,2,11,30,9,1,0,0
PAL9293,2/19/93,92039,50,0,0,0,7,21,15,5,2,0,0
PAL9293,2/19/93,92040,78,0,0,0,1,18,26,30,3,0,0
PAL9394,1/11/94,93001,54,0,0,0,2,8,29,13,2,0,0
PAL9394,1/11/94,93002,50,0,0,0,1,21,23,5,0,0,0
PAL9394,1/11/94,93003,62,0,0,3,11,29,12,5,2,0,0
PAL9394,1/11/94,93004,54,0,0,0,5,24,25,0,0,0,0
PAL9394,1/11/94,93005,65,0,0,0,4,29,30,2,0,0,0
PAL9394,1/16/94,93006,54,0,0,2,7,24,18,3,0,0,0
PAL9394,1/16/94,93007,50,0,0,0,1,6,27,12,4,0,0
PAL9394,1/16/94,93008,53,0,0,1,6,28,18,0,0,0,0
PAL9394,1/16/94,93009,50,0,0,1,2,24,20,1,2,0,0
PAL9394,1/16/94,93010,58,0,0,0,1,10,32,14,1,0,0
PAL9394,1/21/94,93011,58,0,0,0,2,15,29,11,1,0,0
PAL9394,1/21/94,93012,63,0,0,0,3,17,28,13,2,0,0
PAL9394,1/21/94,93013,51,0,0,0,1,11,26,12,1,0,0
PAL9394,1/21/94,93014,51,0,0,1,2,15,23,8,2,0,0
PAL9394,1/21/94,93015,55,0,0,0,1,14,28,11,1,0,0
PAL9394,1/26/94,93016,58,0,0,0,3,27,19,9,0,0,0
PAL9394,1/26/94,93017,55,0,0,0,0,8,26,20,1,0,0
PAL9394,1/26/94,93018,51,0,0,0,0,17,32,2,0,0,0
PAL9394,1/26/94,93019,59,0,0,0,0,14,36,9,0,0,0
PAL9394,1/26/94,93020,50,0,0,0,3,30,16,1,0,0,0
PAL9394,2/1/94,93021,50,0,0,0,0,10,29,11,0,0,0
PAL9394,2/1/94,93022,74,0,0,0,1,12,35,25,1,0,0
PAL9394,2/1/94,93023,50,0,0,0,0,19,23,8,0,0,0
PAL9394,2/1/94,93024,62,0,0,0,0,5,22,26,9,0,0
PAL9394,2/1/94,93025,51,0,0,0,2,9,29,7,4,0,0
PAL9394,2/7/94,93026,65,0,0,0,0,8,39,14,4,0,0
PAL9394,2/7/94,93027,73,0,0,0,1,24,34,12,2,0,0
