"ASD","t","L","M","Y","n","fr"
"48.2",109,0,1,2010,2,0
"48.2",109,2,1,2010,2,0
"48.2",109,4,1,2010,2,0
"48.2",109,6,1,2010,2,0
"48.2",109,8,1,2010,2,0
"48.2",109,10,1,2010,2,0
"48.2",109,12,1,2010,2,0
"48.2",109,14,1,2010,2,0
"48.2",109,16,1,2010,2,0
"48.2",109,18,1,2010,2,0
"48.2",109,20,1,2010,2,0
"48.2",109,22,1,2010,2,0
"48.2",109,24,1,2010,2,0
"48.2",109,26,1,2010,2,0.000550518134715026
"48.2",109,28,1,2010,2,0.000142273733605003
"48.2",109,30,1,2010,2,0.00149791337305187
"48.2",109,32,1,2010,2,0.00918256319257231
"48.2",109,34,1,2010,2,0.0182004757494736
"48.2",109,36,1,2010,2,0.0382867994478547
"48.2",109,38,1,2010,2,0.0622916660890941
"48.2",109,40,1,2010,2,0.113309271055319
"48.2",109,42,1,2010,2,0.133676358517746
"48.2",109,44,1,2010,2,0.097073152702198
"48.2",109,46,1,2010,2,0.0486222538015494
"48.2",109,48,1,2010,2,0.0546929476085178
"48.2",109,50,1,2010,2,0.0948875124552951
"48.2",109,52,1,2010,2,0.126715008698073
"48.2",109,54,1,2010,2,0.121902298628651
"48.2",109,56,1,2010,2,0.0607199677640268
"48.2",109,58,1,2010,2,0.0166380335466557
"48.2",109,60,1,2010,2,0.00151107060767401
"48.2",109,62,1,2010,2,9.99148939276115e-05
"48.2",109,64,1,2010,2,0
"48.2",109,66,1,2010,2,0
"48.2",109,68,1,2010,2,0
"48.2",109,70,1,2010,2,0
"48.2",109,72,1,2010,2,0
"48.2",109,74,1,2010,2,0
"48.2",109,76,1,2010,2,0
"48.2",109,78,1,2010,2,0
"48.2",109,80,1,2010,2,0
"48.2",109,82,1,2010,2,0
"48.2",109,84,1,2010,2,0
"48.2",109,86,1,2010,2,0
"48.2",109,88,1,2010,2,0
"48.2",109,90,1,2010,2,0
"48.2",109,92,1,2010,2,0
"48.2",109,94,1,2010,2,0
"48.2",109,96,1,2010,2,0
"48.2",109,98,1,2010,2,0
"48.2",109,100,1,2010,2,0
"48.2",110,0,2,2010,6,0
"48.2",110,2,2,2010,6,0
"48.2",110,4,2,2010,6,0
"48.2",110,6,2,2010,6,0
"48.2",110,8,2,2010,6,0
"48.2",110,10,2,2010,6,0
"48.2",110,12,2,2010,6,0
"48.2",110,14,2,2010,6,0
"48.2",110,16,2,2010,6,0
"48.2",110,18,2,2010,6,0
"48.2",110,20,2,2010,6,0
"48.2",110,22,2,2010,6,0
"48.2",110,24,2,2010,6,0
"48.2",110,26,2,2010,6,0
"48.2",110,28,2,2010,6,0
"48.2",110,30,2,2010,6,0
"48.2",110,32,2,2010,6,0.000633964634239541
"48.2",110,34,2,2010,6,0.00256757301248107
"48.2",110,36,2,2010,6,0.0126976066285977
"48.2",110,38,2,2010,6,0.0298830093523345
"48.2",110,40,2,2010,6,0.0553195800505821
"48.2",110,42,2,2010,6,0.0853985181278379
"48.2",110,44,2,2010,6,0.121110284764335
"48.2",110,46,2,2010,6,0.108643785939589
"48.2",110,48,2,2010,6,0.0833989405385054
"48.2",110,50,2,2010,6,0.0765669756283801
"48.2",110,52,2,2010,6,0.0992984424872143
"48.2",110,54,2,2010,6,0.145486609819738
"48.2",110,56,2,2010,6,0.111785911544651
"48.2",110,58,2,2010,6,0.0542310959657121
"48.2",110,60,2,2010,6,0.0105858134013744
"48.2",110,62,2,2010,6,0.00205881468012668
"48.2",110,64,2,2010,6,0.000333073424301494
"48.2",110,66,2,2010,6,0
"48.2",110,68,2,2010,6,0
"48.2",110,70,2,2010,6,0
"48.2",110,72,2,2010,6,0
"48.2",110,74,2,2010,6,0
"48.2",110,76,2,2010,6,0
"48.2",110,78,2,2010,6,0
"48.2",110,80,2,2010,6,0
"48.2",110,82,2,2010,6,0
"48.2",110,84,2,2010,6,0
"48.2",110,86,2,2010,6,0
"48.2",110,88,2,2010,6,0
"48.2",110,90,2,2010,6,0
"48.2",110,92,2,2010,6,0
"48.2",110,94,2,2010,6,0
"48.2",110,96,2,2010,6,0
"48.2",110,98,2,2010,6,0
"48.2",110,100,2,2010,6,0
"48.2",111,0,3,2010,5,0
"48.2",111,2,3,2010,5,0
"48.2",111,4,3,2010,5,0
"48.2",111,6,3,2010,5,0
"48.2",111,8,3,2010,5,0
"48.2",111,10,3,2010,5,0
"48.2",111,12,3,2010,5,0
"48.2",111,14,3,2010,5,0
"48.2",111,16,3,2010,5,0
"48.2",111,18,3,2010,5,0
"48.2",111,20,3,2010,5,7.36245954692557e-05
"48.2",111,22,3,2010,5,0
"48.2",111,24,3,2010,5,0
"48.2",111,26,3,2010,5,0
"48.2",111,28,3,2010,5,0
"48.2",111,30,3,2010,5,0
"48.2",111,32,3,2010,5,0.000286079182630907
"48.2",111,34,3,2010,5,0.000626702064292408
"48.2",111,36,3,2010,5,0.00419871819133136
"48.2",111,38,3,2010,5,0.0113173064334774
"48.2",111,40,3,2010,5,0.0380502010416002
"48.2",111,42,3,2010,5,0.0797233126296466
"48.2",111,44,3,2010,5,0.139083153877117
"48.2",111,46,3,2010,5,0.139782175784465
"48.2",111,48,3,2010,5,0.129608335334232
"48.2",111,50,3,2010,5,0.101442373077562
"48.2",111,52,3,2010,5,0.0995615836869417
"48.2",111,54,3,2010,5,0.125065204480865
"48.2",111,56,3,2010,5,0.0923343763829831
"48.2",111,58,3,2010,5,0.0311235660195093
"48.2",111,60,3,2010,5,0.00745216080130838
"48.2",111,62,3,2010,5,0.000271126416568972
"48.2",111,64,3,2010,5,0
"48.2",111,66,3,2010,5,0
"48.2",111,68,3,2010,5,0
"48.2",111,70,3,2010,5,0
"48.2",111,72,3,2010,5,0
"48.2",111,74,3,2010,5,0
"48.2",111,76,3,2010,5,0
"48.2",111,78,3,2010,5,0
"48.2",111,80,3,2010,5,0
"48.2",111,82,3,2010,5,0
"48.2",111,84,3,2010,5,0
"48.2",111,86,3,2010,5,0
"48.2",111,88,3,2010,5,0
"48.2",111,90,3,2010,5,0
"48.2",111,92,3,2010,5,0
"48.2",111,94,3,2010,5,0
"48.2",111,96,3,2010,5,0
"48.2",111,98,3,2010,5,0
"48.2",111,100,3,2010,5,0
"48.2",112,0,4,2010,1,0
"48.2",112,2,4,2010,1,0
"48.2",112,4,4,2010,1,0
"48.2",112,6,4,2010,1,0
"48.2",112,8,4,2010,1,0
"48.2",112,10,4,2010,1,0
"48.2",112,12,4,2010,1,0
"48.2",112,14,4,2010,1,0
"48.2",112,16,4,2010,1,0
"48.2",112,18,4,2010,1,0
"48.2",112,20,4,2010,1,0
"48.2",112,22,4,2010,1,0
"48.2",112,24,4,2010,1,0
"48.2",112,26,4,2010,1,0
"48.2",112,28,4,2010,1,0
"48.2",112,30,4,2010,1,0
"48.2",112,32,4,2010,1,0
"48.2",112,34,4,2010,1,0.00373239436619718
"48.2",112,36,4,2010,1,0.0161971830985916
"48.2",112,38,4,2010,1,0.0311267605633803
"48.2",112,40,4,2010,1,0.0672535211267606
"48.2",112,42,4,2010,1,0.12330985915493
"48.2",112,44,4,2010,1,0.152042253521127
"48.2",112,46,4,2010,1,0.124788732394366
"48.2",112,48,4,2010,1,0.0899295774647887
"48.2",112,50,4,2010,1,0.135211267605634
"48.2",112,52,4,2010,1,0.0856338028169014
"48.2",112,54,4,2010,1,0.0991549295774648
"48.2",112,56,4,2010,1,0.0502816901408451
"48.2",112,58,4,2010,1,0.0138028169014085
"48.2",112,60,4,2010,1,0.00753521126760563
"48.2",112,62,4,2010,1,0
"48.2",112,64,4,2010,1,0
"48.2",112,66,4,2010,1,0
"48.2",112,68,4,2010,1,0
"48.2",112,70,4,2010,1,0
"48.2",112,72,4,2010,1,0
"48.2",112,74,4,2010,1,0
"48.2",112,76,4,2010,1,0
"48.2",112,78,4,2010,1,0
"48.2",112,80,4,2010,1,0
"48.2",112,82,4,2010,1,0
"48.2",112,84,4,2010,1,0
"48.2",112,86,4,2010,1,0
"48.2",112,88,4,2010,1,0
"48.2",112,90,4,2010,1,0
"48.2",112,92,4,2010,1,0
"48.2",112,94,4,2010,1,0
"48.2",112,96,4,2010,1,0
"48.2",112,98,4,2010,1,0
"48.2",112,100,4,2010,1,0
"48.2",121,0,1,2011,1,0
"48.2",121,2,1,2011,1,0
"48.2",121,4,1,2011,1,0
"48.2",121,6,1,2011,1,0
"48.2",121,8,1,2011,1,0
"48.2",121,10,1,2011,1,0
"48.2",121,12,1,2011,1,0
"48.2",121,14,1,2011,1,0
"48.2",121,16,1,2011,1,0
"48.2",121,18,1,2011,1,0
"48.2",121,20,1,2011,1,0
"48.2",121,22,1,2011,1,0
"48.2",121,24,1,2011,1,0.00505050505050505
"48.2",121,26,1,2011,1,0
"48.2",121,28,1,2011,1,0.0150505050505051
"48.2",121,30,1,2011,1,0.0604545454545454
"48.2",121,32,1,2011,1,0.160454545454545
"48.2",121,34,1,2011,1,0.211060606060606
"48.2",121,36,1,2011,1,0.311666666666667
"48.2",121,38,1,2011,1,0.140707070707071
"48.2",121,40,1,2011,1,0.0905050505050505
"48.2",121,42,1,2011,1,0.00505050505050505
"48.2",121,44,1,2011,1,0
"48.2",121,46,1,2011,1,0
"48.2",121,48,1,2011,1,0
"48.2",121,50,1,2011,1,0
"48.2",121,52,1,2011,1,0
"48.2",121,54,1,2011,1,0
"48.2",121,56,1,2011,1,0
"48.2",121,58,1,2011,1,0
"48.2",121,60,1,2011,1,0
"48.2",121,62,1,2011,1,0
"48.2",121,64,1,2011,1,0
"48.2",121,66,1,2011,1,0
"48.2",121,68,1,2011,1,0
"48.2",121,70,1,2011,1,0
"48.2",121,72,1,2011,1,0
"48.2",121,74,1,2011,1,0
"48.2",121,76,1,2011,1,0
"48.2",121,78,1,2011,1,0
"48.2",121,80,1,2011,1,0
"48.2",121,82,1,2011,1,0
"48.2",121,84,1,2011,1,0
"48.2",121,86,1,2011,1,0
"48.2",121,88,1,2011,1,0
"48.2",121,90,1,2011,1,0
"48.2",121,92,1,2011,1,0
"48.2",121,94,1,2011,1,0
"48.2",121,96,1,2011,1,0
"48.2",121,98,1,2011,1,0
"48.2",121,100,1,2011,1,0
"48.2",122,0,2,2011,5,0
"48.2",122,2,2,2011,5,0
"48.2",122,4,2,2011,5,0
"48.2",122,6,2,2011,5,0
"48.2",122,8,2,2011,5,0
"48.2",122,10,2,2011,5,0
"48.2",122,12,2,2011,5,0
"48.2",122,14,2,2011,5,0
"48.2",122,16,2,2011,5,0
"48.2",122,18,2,2011,5,0
"48.2",122,20,2,2011,5,9.02650044280946e-05
"48.2",122,22,2,2011,5,0.000289765476781567
"48.2",122,24,2,2011,5,0.000669771171429757
"48.2",122,26,2,2011,5,0.00487843790308462
"48.2",122,28,2,2011,5,0.00878062060364725
"48.2",122,30,2,2011,5,0.0239274317329313
"48.2",122,32,2,2011,5,0.0395472302574641
"48.2",122,34,2,2011,5,0.0555198342470297
"48.2",122,36,2,2011,5,0.0759280587095904
"48.2",122,38,2,2011,5,0.0921909963524023
"48.2",122,40,2,2011,5,0.110890710908571
"48.2",122,42,2,2011,5,0.106803212197179
"48.2",122,44,2,2011,5,0.102474968621823
"48.2",122,46,2,2011,5,0.0994618794971895
"48.2",122,48,2,2011,5,0.0995595104112135
"48.2",122,50,2,2011,5,0.0940383219373534
"48.2",122,52,2,2011,5,0.0536863746365135
"48.2",122,54,2,2011,5,0.0233123973857319
"48.2",122,56,2,2011,5,0.00544265088002794
"48.2",122,58,2,2011,5,0.00164748985360411
"48.2",122,60,2,2011,5,0.000860072212003543
"48.2",122,62,2,2011,5,0
"48.2",122,64,2,2011,5,0
"48.2",122,66,2,2011,5,0
"48.2",122,68,2,2011,5,0
"48.2",122,70,2,2011,5,0
"48.2",122,72,2,2011,5,0
"48.2",122,74,2,2011,5,0
"48.2",122,76,2,2011,5,0
"48.2",122,78,2,2011,5,0
"48.2",122,80,2,2011,5,0
"48.2",122,82,2,2011,5,0
"48.2",122,84,2,2011,5,0
"48.2",122,86,2,2011,5,0
"48.2",122,88,2,2011,5,0
"48.2",122,90,2,2011,5,0
"48.2",122,92,2,2011,5,0
"48.2",122,94,2,2011,5,0
"48.2",122,96,2,2011,5,0
"48.2",122,98,2,2011,5,0
"48.2",122,100,2,2011,5,0
"48.2",123,0,3,2011,6,0
"48.2",123,2,3,2011,6,0
"48.2",123,4,3,2011,6,0
"48.2",123,6,3,2011,6,0
"48.2",123,8,3,2011,6,0
"48.2",123,10,3,2011,6,0
"48.2",123,12,3,2011,6,0
"48.2",123,14,3,2011,6,0
"48.2",123,16,3,2011,6,0
"48.2",123,18,3,2011,6,0
"48.2",123,20,3,2011,6,0
"48.2",123,22,3,2011,6,2.93789487374308e-05
"48.2",123,24,3,2011,6,0
"48.2",123,26,3,2011,6,0.00143347420052685
"48.2",123,28,3,2011,6,0.00508129132581226
"48.2",123,30,3,2011,6,0.0130011641686755
"48.2",123,32,3,2011,6,0.0215120828823004
"48.2",123,34,3,2011,6,0.0395057956740446
"48.2",123,36,3,2011,6,0.0576645369253705
"48.2",123,38,3,2011,6,0.0667030926840151
"48.2",123,40,3,2011,6,0.102455439942864
