cruise,sl,count,Proportion
LMG09-01,0,1,0.03
LMG09-01,3,0,0
LMG09-01,4,0,0
LMG09-01,5,0,0
LMG09-01,6,0,0
LMG09-01,7,0,0
LMG09-01,8,0,0
LMG09-01,9,0,0
LMG09-01,10,0,0
LMG09-01,11,2,0.07
LMG09-01,12,0,0
LMG09-01,13,2,0.07
LMG09-01,14,5,0.16
LMG09-01,15,11,0.36
LMG09-01,16,10,0.33
LMG09-01,17,24,0.79
LMG09-01,18,25,0.82
LMG09-01,19,19,0.63
LMG09-01,20,20,0.66
LMG09-01,21,21,0.69
LMG09-01,22,8,0.26
LMG09-01,23,6,0.2
LMG09-01,24,20,0.66
LMG09-01,25,13,0.43
LMG09-01,26,19,0.63
LMG09-01,27,20,0.66
LMG09-01,28,21,0.69
LMG09-01,29,24,0.79
LMG09-01,30,42,1.38
LMG09-01,31,63,2.07
LMG09-01,32,70,2.3
LMG09-01,33,107,3.52
LMG09-01,34,144,4.74
LMG09-01,35,162,5.33
LMG09-01,36,162,5.33
LMG09-01,37,184,6.05
LMG09-01,38,158,5.2
LMG09-01,39,155,5.1
LMG09-01,40,145,4.77
LMG09-01,41,129,4.24
LMG09-01,42,123,4.05
LMG09-01,43,86,2.83
LMG09-01,44,99,3.26
LMG09-01,45,106,3.49
LMG09-01,46,137,4.51
LMG09-01,47,120,3.95
LMG09-01,48,162,5.33
LMG09-01,49,120,3.95
LMG09-01,50,100,3.29
LMG09-01,51,64,2.11
LMG09-01,52,57,1.88
LMG09-01,53,25,0.82
LMG09-01,54,24,0.79
LMG09-01,55,9,0.3
LMG09-01,56,6,0.2
LMG09-01,57,2,0.07
LMG09-01,58,2,0.07
LMG09-01,59,2,0.07
LMG09-01,60,3,0.1
LMG09-01,61,0,0
LMG09-01,62,0,0
LMG09-01,63,0,0
LMG09-01,64,0,0
LMG09-01,65,0,0
LMG10-01,0,0,0
LMG10-01,3,0,0
LMG10-01,4,0,0
LMG10-01,5,0,0
LMG10-01,6,0,0
LMG10-01,7,0,0
LMG10-01,8,0,0
LMG10-01,9,0,0
LMG10-01,10,0,0
LMG10-01,11,0,0
LMG10-01,12,0,0
LMG10-01,13,0,0
LMG10-01,14,1,0.09
LMG10-01,15,1,0.09
LMG10-01,16,2,0.18
LMG10-01,17,3,0.26
LMG10-01,18,1,0.09
LMG10-01,19,9,0.79
LMG10-01,20,1,0.09
LMG10-01,21,9,0.79
LMG10-01,22,13,1.15
LMG10-01,23,15,1.32
LMG10-01,24,18,1.59
LMG10-01,25,26,2.29
LMG10-01,26,30,2.65
LMG10-01,27,33,2.91
LMG10-01,28,36,3.17
LMG10-01,29,36,3.17
LMG10-01,30,45,3.97
LMG10-01,31,38,3.35
LMG10-01,32,31,2.73
LMG10-01,33,32,2.82
LMG10-01,34,20,1.76
LMG10-01,35,9,0.79
LMG10-01,36,10,0.88
LMG10-01,37,1,0.09
LMG10-01,38,3,0.26
LMG10-01,39,7,0.62
LMG10-01,40,11,0.97
LMG10-01,41,20,1.76
LMG10-01,42,19,1.68
LMG10-01,43,40,3.53
LMG10-01,44,49,4.32
LMG10-01,45,59,5.2
LMG10-01,46,76,6.7
LMG10-01,47,80,7.05
LMG10-01,48,91,8.02
LMG10-01,49,57,5.03
LMG10-01,50,61,5.38
LMG10-01,51,48,4.23
LMG10-01,52,31,2.73
LMG10-01,53,29,2.56
LMG10-01,54,11,0.97
LMG10-01,55,10,0.88
LMG10-01,56,1,0.09
LMG10-01,57,5,0.44
LMG10-01,58,3,0.26
LMG10-01,59,1,0.09
LMG10-01,60,2,0.18
LMG10-01,61,0,0
LMG10-01,62,0,0
LMG10-01,63,0,0
LMG10-01,64,0,0
LMG10-01,65,0,0
